Entity ID,Name,Symbol,Wikipedia,Industry,Air Quality,Ecological Impacts,Energy Management,GHG Emissions,Water & Hazardous Materials,Waste & Wastewater Management,Access & Affordability,Customer Privacy,Customer Welfare,Data Security,Employee Engagement,Employee Health & Safety,Human Rights & Community Relations,Labor Practices,Product Quality & Safety,Selling Practices & Product Labeling,Business Ethics,Business Model Resilience,Competitive Behavior,Critical Incidence Risk Management,Management of the Legal & Regulatory Environment,Materials Sourcing & Efficiency,Product Design & Lifecycle Management,Physical Impacts of Climate Change,Supply Chain Management,Systemic Risk Management
73,Imperial Brands Group,IMB,Imperial Brands,Tobacco,,,0.355,0.355,0.355,,,,,0.505,,,,,0.505,,0.867,,,,0.814,,,0.441,,
701,Informa plc,INF,Informa,Media,,,0.531,,,,0.656,0.684,,,,,,,,,0.411,0.647,,,0.537,0.505,0.572,,,
75,InterContinental Hotels Group plc,IHG,IHG Hotels & Resorts,Travel & leisure,,,,0.552,,0.466,,,,,0.466,,,0.544,0.649,,,,,,,,,0.567,0.738,0.571
78,International Consolidated Airlines Group SA,IAG,International Airlines Group,Travel & leisure,,0.497,,0.463,,,0.764,,0.505,,,,,,,,,0.634,0.49,,,,0.662,0.536,,
77,Intertek Group plc,ITRK,Intertek,Support services,0.505,0.474,,,0.505,,,,,,,,,,0.492,,0.538,0.792,,,,,0.676,,0.552,
80,JD Sports Fashion plc,JD,JD Sports,General retailers,,0.513,,,,0.505,,,,,,,0.545,,0.582,,0.725,,,,,0.634,,,0.652,0.396
83,Kingfisher,KGF,Kingfisher plc,Retailers,0.505,0.61,,,,0.442,0.444,0.69,,,,,,,,,0.564,0.623,,,,0.662,,,,
85,Legal & General Group plc,LGEN,Legal & General,Life insurance,0.355,,0.606,0.355,,,0.505,0.545,,0.505,,,,,,,,0.881,,,,,0.779,,,
86,Lloyds Banking Group plc,LLOY,Lloyds Banking Group,Banks,,0.533,,,,,,,,,,,0.611,,0.401,,0.463,0.719,0.744,,0.55,,0.516,,,
88,M&G plc,MNG,M&G,Financial services,0.355,,,,0.355,0.355,,,0.505,,0.355,,,0.505,,,0.671,,,,,,0.735,,,
220,Marks & Spencer Group plc,MKS,Marks & Spencer,Food & drug retailing,,,,0.504,,0.543,0.585,0.537,,,,,0.493,,,,0.703,0.612,,,,,,,,0.577
90,Melrose Industries plc,MRO,Melrose Industries,Aerospace & defence,0.505,0.597,0.78,,,,,0.744,,,,0.505,,,0.63,,,,,,,,,0.36,,0.388
91,Mondi plc,MNDI,Mondi,Containers & packaging,0.505,,0.58,0.634,,,,0.537,,,,,,,,,0.71,0.675,,,,,,0.445,,0.458
92,National Grid,NG,National Grid plc,Multiline utilities,0.557,,0.511,0.648,,,,,,,,,,,0.523,,0.659,,,,,0.532,,0.55,0.574,
151,NatWest Group plc,NWG,NatWest Group,Banks,,,,,,,,0.666,,,,,0.481,0.517,0.458,,,0.677,,0.552,,0.535,0.669,,,
93,Next plc,NXT,Next plc,General retailers,,,0.544,,0.584,,0.586,,0.578,,,,,0.508,,,0.613,,,,,0.684,,,,0.457
96,Pearson plc,PSON,Pearson plc,Media,,0.449,,0.505,,,,0.787,,,,0.664,,,,,0.764,,,,0.431,,,0.523,0.421,
98,Persimmon plc,PSN,Persimmon,Household goods & home construction,,,0.787,0.355,0.355,,0.505,0.421,,,,,,,0.505,,,,0.374,,,,0.398,,,
99,Phoenix Group Holdings Plc,PHNX,Standard Life,Life insurance,,,,,,,,,,,0.503,,0.595,,0.58,,0.579,0.723,,,,,0.658,0.456,0.462,
101,Prudential plc,PRU,Prudential plc,Life insurance,,,0.505,,0.505,,,0.808,,,,,0.46,,,,0.633,,,0.615,,,,0.586,0.437,
102,Reckitt Benckiser Group Plc,RKT,Reckitt,Household goods & home construction,,0.801,,,0.585,,0.483,,,,0.404,,,,,,0.591,0.7,,,,,,0.57,0.403,
103,RELX plc,REL,RELX,Media,,0.47,0.505,,,0.505,0.502,0.873,,,0.465,,,0.775,,,,,,0.441,,,,,,
104,Rentokil Initial Plc,RTO,Rentokil Initial,Support services,0.371,,0.355,,,0.793,,0.983,0.505,,0.505,0.355,,,,,0.36,,,,,,,,,
105,Rightmove plc,RMV,Rightmove,Media,0.355,,0.616,,0.355,,0.355,,0.505,,,0.355,,0.355,,0.505,,,,,,,,,,
106,Rio Tinto plc,RIO,Rio Tinto,Mining,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Rolls Royce Holdings Plc,RR,Rolls-Royce Holdings,Aerospace & defence,0.574,0.576,,,,0.505,,,,,,,,,0.505,,,0.847,,,,0.439,,0.465,0.63,
110,Sage Group plc,SGE,Sage Group,Software & computer services,0.505,,0.355,,,0.355,0.383,,0.505,,,,0.549,,,,,0.767,,0.618,,,,,,
1181,Sainsbury (J) plc,SBRY,Sainsbury's,Food & drug retailing,,,,0.485,0.713,0.582,0.506,0.517,,,,,,,,,,,0.718,,0.517,,0.495,,,
111,Schroders plc,SDR,Schroders,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Segro Plc,SGRO,Segro,Real estate investment trusts,0.401,,0.355,,,0.355,,,0.355,,,0.505,0.355,,,,0.505,0.669,,,,,,,,
114,Severn Trent Plc,SVT,Severn Trent,Multiline utilities,0.355,,,,,,,0.505,,,,,,,0.604,,,0.748,0.699,0.528,,,,,,0.549
2471,Shell plc,SHEL,Shell plc,Oil & gas producers,,0.645,0.587,0.582,,,,,,,,,,0.511,0.543,,,,,,,,0.582,,0.544,0.556
115,Smith & Nephew plc,SN,Smith & Nephew,Health care equipment & supplies,0.355,,,0.355,,0.355,,0.58,,0.505,,,,,,,0.505,0.965,,,,,0.905,,,
1186,SSE plc,SSE,SSE plc,Electrical utilities & independent power producers,0.56,,,,,0.523,,0.64,,,,,0.499,,,,0.494,,,,,0.622,,0.679,,0.523
788,St James's Place Plc,STJ,St. James's Place,Financial services,,0.355,0.355,,,0.355,0.505,0.378,,,0.505,,0.41,,,,0.355,,,,,,,,,
122,Standard Chartered plc,STAN,Standard Chartered,Banks,0.505,,0.38,,0.505,,,0.622,,,,,,,,,,0.68,,,0.573,,,0.669,0.618,
24,Tesco plc,TSCO,Tesco,Food & drug retailing,0.54,0.559,,0.49,,,,,0.495,,,,0.435,0.593,,,,0.798,,,,,0.646,,,
126,Unilever plc,ULVR,Unilever,Personal goods,,,,0.522,0.535,,,,0.447,,,,0.566,,,,,0.678,,0.51,0.556,,,0.741,,
127,United Utilities Group Plc,UU.,United Utilities,Multiline utilities,,0.657,,0.519,,,,,,,,,,,0.401,,0.518,0.697,,,0.501,,0.721,,0.533,
128,Vodafone Group plc,VOD,Vodafone Group,Mobile telecommunications,,,,0.585,,,0.584,0.7,,,,,,,0.508,,,0.61,,,,0.442,0.606,,,0.517
129,Whitbread plc,WTB,Whitbread,Retail hospitality,0.355,,0.384,0.356,,,0.505,,,,,,,0.355,,,0.505,0.754,,,,,0.729,,,
130,WPP plc,WPP,,Media,0.505,,0.505,,,,0.44,0.783,,,,,,,0.37,,0.574,,,,,,0.898,,0.476,
